Position,Group,Display,Designator,Electrical Type,Description,Side
1,,INTVcc,2,eElectricPassive,,Left
2,,BIAS,1,eElectricPassive,,Left
3,,EN/UV,17,eElectricPassive,,Left
4,,Pg,23,eElectricPassive,,Left
5,,RT,18,eElectricPassive,,Left
6,,CLKOUT,19,eElectricPassive,,Left
7,,SYNC/MODE,20,eElectricPassive,,Left
8,,SS,21,eElectricPassive,,Left
9,,GND,3,eElectricPower,,Bottom
10,,GND,16,eElectricPower,,Bottom
11,,GND,25,eElectricPower,,Bottom
12,,GND,26,eElectricPower,,Bottom
13,,GND,27,eElectricPower,,Bottom
14,,GND,28,eElectricPower,,Bottom
15,,BST,7,eElectricPassive,,Right
16,,FB,24,eElectricPassive,,Right
17,,SW,8,eElectricPassive,,Right
18,,SW,9,eElectricPassive,,Right
19,,SW,10,eElectricPassive,,Right
20,,SW,11,eElectricPassive,,Right
21,,SW,12,eElectricPassive,,Right
22,,Vc,22,eElectricPassive,,Top
23,,Vin,4,eElectricPower,,Top
24,,Vin,5,eElectricPower,,Top
25,,Vin,6,eElectricPower,,Top
26,,Vin,13,eElectricPower,,Top
27,,Vin,14,eElectricPower,,Top
28,,Vin,15,eElectricPower,,Top
